# Reading C:/questasim64_10.4c/tcl/vsim/pref.tcl
# //  Questa Sim-64
# //  Version 10.4c win64 Jul 20 2015
# //
# //  Copyright 1991-2015 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  THIS WORK CONTAINS TRADE SECRET AND PROPRIETARY INFORMATION
# //  WHICH IS THE PROPERTY OF MENTOR GRAPHICS CORPORATION OR ITS
# //  LICENSORS AND IS SUBJECT TO LICENSE TERMS.
# //  THIS DOCUMENT CONTAINS TRADE SECRETS AND COMMERCIAL OR FINANCIAL
# //  INFORMATION THAT ARE PRIVILEGED, CONFIDENTIAL, AND EXEMPT FROM
# //  DISCLOSURE UNDER THE FREEDOM OF INFORMATION ACT, 5 U.S.C. SECTION 552.
# //  FURTHERMORE, THIS INFORMATION IS PROHIBITED FROM DISCLOSURE UNDER
# //  THE TRADE SECRETS ACT, 18 U.S.C. SECTION 1905.
# //
project open C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/NOC
# Loading project NOC
# Compile of pe.sv was successful.
# Compile of pe_tb.sv was successful.
# Compile of shim.sv was successful.
# Compile of submodules_tb.sv was successful.
# Compile of SystemVerilogCSP.sv was successful.
# Compile of dg_db.sv was successful with warnings.
# Compile of partial_sum.sv was successful with warnings.
# Compile of output_mem.sv was successful.
# 8 compiles, 0 failed with no errors.
do mem_out_wave.do
# ** Warning: (vlib-34) Library already exists at "work".
# 
# QuestaSim-64 vmap 10.4c Lib Mapping Utility 2015.07 Jul 20 2015
# vmap work work 
# Modifying C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/NOC.mpf
# QuestaSim-64 vlog 10.4c Compiler 2015.07 Jul 20 2015
# Start time: 18:59:46 on Apr 17,2023
# vlog -reportprogress 300 -work work submodules_tb.sv 
# -- Compiling package submodules_tb_sv_unit
# -- Importing package SystemVerilogCSP
# -- Compiling module ifmap_mem_tb
# -- Compiling module filter_mem_tb
# -- Compiling module multiplier_tb
# -- Compiling module complete_pe_tb
# -- Compiling module partial_sum_tb
# -- Compiling module output_mem_depacketizer_tb
# -- Compiling module output_mem_array_tb
# -- Compiling module output_mem_tb
# 
# Top level modules:
# 	ifmap_mem_tb
# 	filter_mem_tb
# 	multiplier_tb
# 	complete_pe_tb
# 	partial_sum_tb
# 	output_mem_depacketizer_tb
# 	output_mem_array_tb
# 	output_mem_tb
# End time: 18:59:46 on Apr 17,2023, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim -novopt work.output_mem_tb 
# Start time: 18:59:46 on Apr 17,2023
# ** Warning: (vsim-8891) All optimizations are turned off because the -novopt switch is in effect. This will cause your simulation to run very slowly. If you are using this switch to preserve visibility for Debug or PLI features please see the User's Manual section on Preserving Object Visibility with vopt.
# 
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.output_mem_tb
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.submodules_tb_sv_unit
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.SystemVerilogCSP
# Loading sv_std.std
# Loading work.SystemVerilogCSP
# Loading work.submodules_tb_sv_unit
# Loading work.output_mem_tb
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.output_mem
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.output_mem_sv_unit
# Loading work.output_mem_sv_unit
# Loading work.output_mem
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.Channel
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.SystemVerilogCSP_sv_unit
# Loading work.SystemVerilogCSP_sv_unit
# Loading work.Channel
# Refreshing C:/Users/dpl19/OneDrive/Desktop/EE552/NOC/work.output_mem_depacketizer
# Loading work.output_mem_depacketizer
